Name,Category,Address,City,Phone,Website,Hours,X,Y
Nina Styles,Barber & Beauty,585 Vine St,Athens,(706) 206-6351,https://www.facebook.com/ninastyles2/,"Monday-Thursday 10:30-5:00, Friday 8:00-5:00, Saturday 10:00-2:00, Sunday Closed",-83.354581,33.955954
Payne Construction,Home repair and maintenance,145 Walker Dr,Athens,706-552-3911 ex.103,https://www.cityfos.com/company/PAYNE-CONSTRUCTION-COMMERCIAL-in-ATHENS-GA-13209.htm,varies,-83.35249,33.993727
Peaches,Restaurant/Ice Cream,50 Gaines School Road,Athens,706-254-7416,https://www.facebook.com/PEACHES-FINE-FOODS-364019103531/,Tuesday-Friday: 11-2:30,-83.324308,33.938489
Fit Body Boot Camp,Fitness,3569 Atlanta Hwy,Athens,(678) 863-7305,https://www.fitbodybootcamp.com/athensfitnessbootcamp/,"M-Th 5AM-7PM, F 5AM-6:15PM, Sa 8AM-9:15AM",-83.455672,33.938988
Jet Cuts and Styles,Barber & Beauty,400 Hawthorne Ave,Athens,(770) 850-3379,https://www.facebook.com/barberking1000/,M-F 9AM-6PM,-83.41164,33.9556
Shear Performance Hair Designers,Barber & Beauty,625 Hawthorne Ave,Athens,(706) 546- 7934,https://www.facebook.com/pages/Shear-Performance-Hair-Designers/116996615026755,T-F 9AM-6PM,-83.41355,33.9602
Sheats Barber & Beauty Shop,Barber & Beauty,1296 W Hancock Ave,Athens,(706) 548-1237,https://www.facebook.com/Sheats-Barber-and-Beauty-Shop-222736727860427/,"T-R 9a-6p, F-Sat8a-6p",-83.394333,33.956039
Sherri Ellison,Law,1711 Prince Ave,Athens,(706) 369-7147,https://www.lawyers.com/athens/georgia/sherry-l-jackson-ellison-854610-a/,M-F 9a-5p,-83.407318,33.967388
Social Empowerment Center,Social Work,465 Huntington Road,Athens,(706) 395-6020,http://listings.findthecompany.com/l/752633288/Social-Empowerment-Center,M-F 8am-5pm,-83.464294,33.946121
Studio 74,Barber & Beauty,145 Epps Bridge Rd,Athens,(706) 543-9144,https://www.facebook.com/pages/Studio-74/140303656007030,M-Sat 7:45am-6pm,-83.427917,33.94442
Upper Cutz Barber Shop,Barber & Beauty,"395 Glenhaven Ave,",Athens,(706) 353-9621,https://www.facebook.com/UpperCutzAthens/,"T-F 9a-7p,Sat 8a-4p",-83.39801,33.953354
Dawg Gone Good Barbeque,Restaurant/Ice Cream,224 W Hancock Ave,Athens,(706) 613-9799,https://www.facebook.com/dawggonegoodbbq/,"M: 11am-6pm, T:11am-8pm, W: 11am-8pm, R:11am-10pm, F:11am-3am, Sat: 11am-3am, Sun: 12-6pm",-83.379358,33.959698
Fish Shack,Restaurant/Ice Cream,1660 W Broad St,Athens,(706) 521-8333,fishshackathens.com,W-Sat: 11am-8pm Sun-T: closed,-83.398978,33.952851
Food for the Soul,Restaurant/Ice Cream,1965 W Broad St,Athens,(706) 546-0052,N/A,"Tues-F, Sun: 10:30am-4pm, Sat and Mon: closed",-83.402585,33.950978
JR Crickets,Restaurant/Ice Cream,810 Hawthorne Ave,Athens,(706) 850-9800,jrcrickets.com,Sun-Thurs: 11am-12am F-Sat: 11am-2am,-83.413546,33.963085
Athens West Dental,Healthcare,10 Huntington Rd,Athens,(706) 543-7262,westathensdental.net,By appointment,-83.46787,33.93677
Prime Tire,Automotive,1293 W Broad St,Athens,(706) 549-9991,https://www.facebook.com/pages/Prime-Tires/409611462473633,M-Sat: 8am-6pm Sun: closed,-83.39327,33.95345
Tony Mattox Car Wash/Detail,Automotive,1290 Oconee St,Athens,N/A,https://www.facebook.com/pages/Tony-Mattox-Car-Wash/1558981647709326,N/A,-83.35891,33.94795
Wilson's Styling Shop,Barber & Beauty,343 N Hull St,Athens,(706) 543-2080,https://www.facebook.com/wilsons.stylingshop,"8am-6pm, Closed Wednesday and Sunday",-83.37909,33.959
WXAG 1470 am 92.7 FM,Media,855 Sunset Dr,Athens,(706) 425-0877,https://www.facebook.com/wxagathensga/?rf=855958864499397,N/A,-83.41001,33.968308
Browns Beauty & Barber,Barber & Beauty,325 N Hull Street,Athens,(706) 353-9079,N/A,"M-T 9AM-6PM, Th-Sa 8AM-6:00PM",-83.431379,33.958832
Couture Bodies,Fitness,850 Hawthorne Ave,Athens,706-224-1189,https://www.couturebodies.com/,N/A,-83.413303,33.963469
Science Guyz,Education,250 W Broad St #120,Athens,706-552-0777,http://www.scienceguyz.com/,"M-Th 2pm-10pm, F 2pm-5pm, Sun 4pm-9pm",-83.37889,33.95707
Vanish Night Club,Bars & Night Life,112 Ben Burton Circle,Bogart,N/A,N/A,N/A,-83.47555,33.94375
Zebra Magazine,Media,297 Davis Street,Athens,706-353-4009,http://www.zebraoccasions.com/magazine/4594023678,N/A,-83.3859,33.92277
African and Asian Grocery,Restaurant/Ice Cream,50 Gaines School Road,Athens,678 698 7723,N/A,Mon-Sat 9-9,-83.3242845,33.9384695
Kelly's Jamaican Food,Restaurant/Ice Cream,1583 S Lumpkin,Athens,706 208 0000,N/A,Tue-Fri 11-10 Sat-Sun 12-9,-83.3859709,33.9397815
Lighthouse Seafood,Restaurant/Ice Cream,585 Vine St,Athens,706 850 5364,https://www.facebook.com/Lighthouse-Seafood-309185189281711/,Wed-Sat 12-7,-83.3547119,33.9558484
Lil Ice Cream Dude,Restaurant/Ice Cream,"1040 Gaines School Road #218,",Athens,706 255 7450,https://www.lilicecreamdude.com/,variable,-83.337563,33.927792
Mannaweenta (Eritrean / Ethiopian),Restaurant/Ice Cream,1055 Gaines School Rd #107,athens,706 850 8422,https://www.facebook.com/Mannaweenta-EthiopianEritrean-Restaurant-1663829300568536/,M 5-9:30 Tues-Thurs 11-9:30 Fri-Sat 11-10,-83.3367727,33.9264383
Barnetts Flooring and Construction,Home repair and maintenance,200 Spring Cir,Athens,(404)-202-7211,None,N/A,-83.347427,33.961281
Citgo Cellular/Smart Shop,Tech/Cellular,159 Nellie B Ave,Athens,(706) 380-7578,https://www.facebook.com/Citgo-Cellular-964899816871954/,N/A,-83.354546,33.956219
Lisa Turner- NCR Credit Card Processing Services,Financial Services,110 E Clayton St,Athens,770-442-9872,https://www.ncr.com/,N/A,-83.37682,33.958
"Michele Pearson, Edward Jones Investments and Retirement Advising",Financial Services,"690 Highway 29 N, Suite 100",Athens,(706) 543-7952,https://www.edwardjones.com/financial-advisor/index.html?CIRN=aMZgmtx0pFoi4GonjRX%2F8tmfq%2F7CHYNf21OBukEhY1Mh6A8X%2F1Nu993mELBtY3Sj,M-F 8am-5pm,-83.333855,33.994995
Coast 2 Coast Moves,Home repair and maintenance,300 Sarah Dr.,Athens,(770) 256-6741,https://www.facebook.com/c2cmove/,N/A,-83.433994,33.969651
Fin Alley,Pet Sitting/Pet Store,"1095 Baxter St, Athens, GA 30606",Athens,(706) 850-8433,https://www.facebook.com/finalleyllc/,Monday 3pm-7pm Tuesday - Sat 10am - 7pm Sunday  12-5,-83.402089,33.946115
Mr Mikes Personal Training,Fitness,213 B Tallassee Rd,Athens,(706) 424-9378,https://www.facebook.com/pg/Mr.MikeTheBest/about/?ref=page_internal,8am-8pm,-83.431379,33.966242
Next Level Care,Healthcare,485 Huntington Rd,Athens,(404) 500-9195,http://nextlevelcarellc.com/,M-F 9am - 6pm,-83.464909,33.946649
Precision Cuts Lawn Care,Lawn Maintenance,103 Colleton Drive,Athens,(706) 206-2964,N/A,N/A,-83.441108,33.935209
Divine Tires,Automotive,395 Hawthorne Avenue,Athens,706-546-6787,N/A,M-Sat 9-8,-83.412061,33.954875
"Free Radical Labs, LLC",Tech/Cellular,400 Ashton Drive,Athens,800-301-1710,https://freeradicallabs.com/,Variable,-83.433408,33.978053
Ellison's Tax Professional Services,Financial Services,1711 Prince Avenue,Athens,706-369-7147,http://www.ellisonspro.com/,"Offseason Hours 4/16-1/08: M-F 8:30-5, Sat&Sun Closed; Tax Season Hours 1/10-4/15: M-F 8:30-8:00, Sat. 10:00-3:00, Sunday-Closed",-83.407286,33.9674
Ellison's Insurance Agency,Financial Services,1711 Prince Avenue,Athens,706-369-7147,http://www.ellisonspro.com/,Mon-Fri 9:00-5:00,-83.407286,33.9674
Pittman's Tire Service,Automotive,1525 Lexington Rd,Athens,706-543-2908,N/A,"M-F 8:30-6:00, Sat. 8:00-2:00, Sun. Closed",-83.350919,33.946908
Dr. DuBose Family Dentistry (East Athens Family Dentistry),Healthcare,348 Oak St,Athens,(706) 543-6505,https://www.facebook.com/pages/East-Athens-Family-Dentistry/110343855695139,M-F 8-5,-83.36425,33.952222
Gresham's Disco Lounge,Bars & Night Life,1495 W Broad St,Athens,(706) 548-4389,https://www.facebook.com/pages/Greshams-Disco/152967644742590,N/A,-83.39605,33.95291
Rashe's Jamaican Cuisine,Restaurant/Ice Cream,211 Tallassee Rd,Athens,(706) 850-4164,https://www.facebook.com/RasheCuisine/,Wednesday 11:00 am - 5:00 pm and Thursday - Saturday 11:00 am - 9:00 pm,-83.36424,33.952221
Vic's Vintage,Retail/Shops,768 W. Broad St,Athens,(796) 389-5900,http://www.vicsvintage.com/,"T-Sat 11-6, Sun 12-5",-83.385216,33.95591
Weaver D's,Restaurant/Ice Cream,1016 E. Broad Street,Athens,(706) 353-7797,http://weaverds.com/,M-Sat 11:00am-6:00pm,-83.367306,33.958545
Ace Hair and Beauty Supply,Barber & Beauty,400 Hawthorne Ave,Athens,706-548-8005,http://www.acehairandbeautysupply.com/,N/A,-83.411636,33.955593
Jimmy's Automotive,Automotive,150 Whit Davis Rd,Athens,(706) 850-9298,N/A,M-F 9-6,-83.311821,33.931843
Smiths Heating and Air,Home repair and maintenance,120 Wesley Dr,Athens,706-548-9606,http://www.smithheatingandairservice.com/,Available for emergency service 24/7,-83.28216,33.92061
Green & Green,Law,1127 W Hancock Ave,Athens,(866) 742-7297,http://www.greenandgreenatlaw.com/,M-F: 9:00-5:00pm,-83.391874,33.956208
Hull Firm,Law,3720 Atlanta Hwy Suite 3,Athens,706-395-5303,https://www.thehullfirmllc.com/,M-F: 9:00-5:00pm,-83.387027,33.951867
Jackson-McWhorter Funeral Home,Funeral Homes,1253 W Broad St,Athens,706-543-3623,http://www.jacksonmcwhorterfuneralhome.com/,24 hour on call service,-83.392831,33.953535
Mack & Payne Funeral Home,Funeral Homes,625 Nellie B Ave,Athens,706-543-8213,http://www.mackandpaynefuneralhome.org/,"M-F 10:00am-4:00pm, Sat-Sun by appointment",-83.344944,33.956078
Winfrey's Mutual Funeral Home,Funeral Homes,390 Glenhaven Ave,Athens,706-548-4246,http://www.winfreymutualfuneralhome.com/,24 hour on call service,-83.3978,33.953645
A-Y Drywall,Home repair and maintenance,160 Marlborough Downs Rd,Athens,(706) 352-7712,N/A,N/A,-83.34606,33.96043
Adam?s Vending/Adams Management Group,Retail/Shops,429 River Chase Dr,Athens,(706) 255-0835,N/A,N/A,-83.32158,33.89898
Troy's Construction,Home repair and maintenance,160 Marlborough Downs Rd,Athens,706 621 2280,www.troysconstruction16.us/services.html,M-F 8am - 5pm,-83.49709,33.93663
Wilson's Hair World,Barber & Beauty,"415 Hawthorne Ave, Ste B",Athens,(706) 613-9041,https://www.facebook.com/pages/Wilsons-Hair-World/107266742664871,Mon-Fri: 9:00 AM-5:00 PM,-83.41255,33.95573
Bright Beginnings Daycare,Education,1692 W Hancock Ave,Athens,(706) 543-9491,N/A,M-F 7:00am-6:00pm,-83.39841,33.951791
Dr McRae Family Dentistry,Healthcare,995 Baxter St,Athens,(706) 546-8480,https://www.drmcrae.com,"M-Tues: 7am-5pm, W-F: 7am-7pm, Sat: 8am-2pm, Sun: closed",-83.391156,33.94828
Gardenview Funeral Chapel,Funeral Homes,605 Olympic Dr,Athens,(706) 546-1125,http://gardenviewfuneralchapel.com,By appointment,-83.344725,33.967489
"LaKeisha Gantt, LPC",Healthcare,610 Epps Bridge Parkway,Athens,(706) 389-8207,http://www.lakeishaganttlpc.com,By appointment,-83.439005,33.931912
Magic Years of Learning Daycare,Education,575 N Harris St,Athens,(706) 548-5503,N/A,M-F 6:30am-6:00pm,-83.389122,33.960285
Barfields,Bars & Night Life,2005 Danielsville Rd,Athens,(770) 241-2249,https://www.facebook.com/Barfields-674745426065854/,Varies,-83.349414,34.006002
Ken Dious and Associates,Law,115 Sycamore Dr # B1,Athens,(706) 546-9013,http://www.kendiouslaw.com/,M-F 9:00-7:00,-83.417495,33.948276
Knotty By Nature,Barber & Beauty,1550 Lexington Rd B,Athens,(678) 481-0511,https://www.knottybynaturehairsalon.com/,"T-R 9:00-6:00, F-Sa 8:30-5:00",-83.353367,33.947073
Tire Depot,Automotive,1095 W Broad St,Athens,(770) 613-9547,N/A,"M-R 9:00-6:30, F 9:00-8:00, Sa 9:00-5:00",-83.390873,33.955124
